id,name,gender,height,weight,url
54721,Elena Delle Donne,Female,195.58,85,https://healthyceleb.com/elena-delle-donne-height-weight-body-statistics/54721
54761,Karolína Plíšková,Female,186.06,72,https://healthyceleb.com/karolina-pliskova-height-weight-body-statistics/54761
58374,Meryl Elizabeth Davis,Female,157.48,49,https://healthyceleb.com/meryl-davis-height-weight-body-statistics/58374
58336,Alexandra Patricia Morgan,Female,170.18,56,https://healthyceleb.com/alex-morgan-height-weight-body-statistics/58336
58402,Lindsey Caroline Kildow,Female,177.8,64,https://healthyceleb.com/lindsey-vonn-height-weight-body-statistics/58402
60158,Julianna Peña,Female,170.18,61,https://healthyceleb.com/julianna-pena-height-weight-body-statistics/60158
60166,Amanda Lourenço Nunes,Female,172.72,63,https://healthyceleb.com/amanda-nunes-height-weight-body-statistics/60166
83496,Madison L. Hubbell,Female,170.18,67,https://healthyceleb.com/madison-hubbell-height-weight-age-body-statistics/83496
60794,Stefanie Maria Graf,Female,175.9,64,https://healthyceleb.com/steffi-graf-height-weight-body-statistics/60794
84613,Jessica Diggins,Female,162.56,58,https://healthyceleb.com/jessie-diggins-height-weight-age-body-statistics/84613
89636,Thea Megan Trinidad,Female,154.94,48,https://healthyceleb.com/zelina-vega-height-weight-age-body-statistics/89636
57357,Alexandra Rose Raisman,Female,157.48,52,https://healthyceleb.com/aly-raisman-height-weight-body-statistics/57357
122333,Fernando Luiz Roza,Male,177.8,72,https://healthyceleb.com/fernandinho-footballer-born-may-1985-height-weight-age-body-statistics/122333
118851,Ederson Santana de Moraes,Male,187.96,83,https://healthyceleb.com/ederson-moraes-height-weight-age-body-statistics/118851
119341,Nicolás Hernán Gonzalo Otamendi,Male,180.98,74,https://healthyceleb.com/nicolas-otamendi-height-weight-age-body-statistics/119341
119692,Sergej Milinković-Savić,Male,191.77,76,https://healthyceleb.com/sergej-milinkovic-savic-height-weight-age-body-statistics/119692
117077,Ciro Immobile,Male,185.42,72,https://healthyceleb.com/ciro-immobile-height-weight-age-body-statistics/117077
118817,Fabian Delph,Male,175.26,67,https://healthyceleb.com/fabian-delph-height-weight-age-body-statistics/118817
119745,Rodrigo Bentancur Colmán,Male,187.96,73,https://healthyceleb.com/rodrigo-bentancur-height-weight-age-body-statistics/119745
118387,Aymeric Jean Louis Gerard Alphonse Laporte,Male,190.5,82,https://healthyceleb.com/aymeric-laporte-height-weight-age-body-statistics/118387
117063,Callum Eddie Graham Wilson,Male,180.34,72,https://healthyceleb.com/callum-wilson-english-footballer-height-weight-age-body-statistics/117063
